,PST232,PST238,PST237,PST233,PST234,PST239,PST240
lat,55.27800429138554,55.27599432007363,55.275430544913945,55.275424433425016,55.2707633247523,55.271983620996636,55.26767518506702
lon,14.803541384740784,14.805271642412881,14.804389186593406,14.804389186593406,14.809371140037541,14.807497722840377,14.804679898231997
